index,0,laplace_method,cluster_method,n_components
unnormalized_discretize_72,0.002098681084762734,unnormalized,discretize,72
unnormalized_discretize_44,0.0020852450025017487,unnormalized,discretize,44
unnormalized_discretize_42,0.0020852450025017487,unnormalized,discretize,42
unnormalized_discretize_74,0.002082979093940305,unnormalized,discretize,74
unnormalized_discretize_30,0.0020676626107517114,unnormalized,discretize,30
unnormalized_discretize_50,0.00205944904397351,unnormalized,discretize,50
unnormalized_discretize_66,0.00205944904397351,unnormalized,discretize,66
unnormalized_discretize_48,0.00205944904397351,unnormalized,discretize,48
unnormalized_discretize_76,0.00205944904397351,unnormalized,discretize,76
unnormalized_discretize_68,0.00205944904397351,unnormalized,discretize,68
unnormalized_discretize_64,0.00205944904397351,unnormalized,discretize,64
unnormalized_discretize_78,0.00205944904397351,unnormalized,discretize,78
unnormalized_discretize_62,0.00205944904397351,unnormalized,discretize,62
unnormalized_discretize_58,0.00205944904397351,unnormalized,discretize,58
unnormalized_discretize_70,0.00205944904397351,unnormalized,discretize,70
unnormalized_discretize_46,0.00205944904397351,unnormalized,discretize,46
unnormalized_discretize_54,0.00205944904397351,unnormalized,discretize,54
unnormalized_discretize_56,0.00205944904397351,unnormalized,discretize,56
unnormalized_discretize_14,0.002054908384462904,unnormalized,discretize,14
unnormalized_discretize_52,0.0020493576303175034,unnormalized,discretize,52
unnormalized_discretize_38,0.001994954737884613,unnormalized,discretize,38
unnormalized_discretize_36,0.0019154667894533018,unnormalized,discretize,36
unnormalized_discretize_32,0.0019130496567033918,unnormalized,discretize,32
unnormalized_discretize_34,0.0017604441056248662,unnormalized,discretize,34
unnormalized_kmeans_20,0.001740172877279467,unnormalized,kmeans,20
unnormalized_discretize_28,0.0017177888269878838,unnormalized,discretize,28
unnormalized_kmeans_16,0.001704628767159438,unnormalized,kmeans,16
unnormalized_discretize_24,0.001503048632152633,unnormalized,discretize,24
unnormalized_discretize_16,0.0014275637757456842,unnormalized,discretize,16
unnormalized_kmeans_18,0.0013538762608352366,unnormalized,kmeans,18
unnormalized_kmeans_26,0.0013072296710137001,unnormalized,kmeans,26
unnormalized_kmeans_38,0.0012487913563090664,unnormalized,kmeans,38
unnormalized_kmeans_22,0.0011711219075159383,unnormalized,kmeans,22
unnormalized_kmeans_32,0.001139764456365054,unnormalized,kmeans,32
unnormalized_discretize_10,0.0011291160976774266,unnormalized,discretize,10
unnormalized_kmeans_36,0.001080361147339478,unnormalized,kmeans,36
unnormalized_kmeans_60,0.0010612661661627738,unnormalized,kmeans,60
unnormalized_kmeans_34,0.0010169904837714822,unnormalized,kmeans,34
unnormalized_kmeans_64,0.001004898493428937,unnormalized,kmeans,64
unnormalized_kmeans_30,0.0009291557080987661,unnormalized,kmeans,30
unnormalized_kmeans_58,0.000922382360791288,unnormalized,kmeans,58
unnormalized_kmeans_24,0.0009047327110357029,unnormalized,kmeans,24
unnormalized_kmeans_28,0.0008949344724048265,unnormalized,kmeans,28
unnormalized_kmeans_68,0.0008920196824367004,unnormalized,kmeans,68
unnormalized_kmeans_40,0.0008626217868857216,unnormalized,kmeans,40
unnormalized_discretize_8,0.0008593221299050039,unnormalized,discretize,8
unnormalized_kmeans_52,0.0008130803549317106,unnormalized,kmeans,52
unnormalized_discretize_26,0.0007864952527147275,unnormalized,discretize,26
unnormalized_kmeans_62,0.0007622682424001094,unnormalized,kmeans,62
unnormalized_kmeans_70,0.0007182699730201711,unnormalized,kmeans,70
unnormalized_kmeans_66,0.0006934285217046871,unnormalized,kmeans,66
unnormalized_kmeans_54,0.0006792208660140132,unnormalized,kmeans,54
unnormalized_discretize_20,0.0006013029091154742,unnormalized,discretize,20
unnormalized_kmeans_56,0.0005976626431138883,unnormalized,kmeans,56
unnormalized_kmeans_72,0.0005255571619010869,unnormalized,kmeans,72
unnormalized_kmeans_48,0.0004469085910026434,unnormalized,kmeans,48
unnormalized_kmeans_50,0.00042559682384406673,unnormalized,kmeans,50
unnormalized_discretize_6,0.00019757058924620648,unnormalized,discretize,6
unnormalized_kmeans_42,0.00016707033971868128,unnormalized,kmeans,42
unnormalized_kmeans_44,0.00016707033971868128,unnormalized,kmeans,44
unnormalized_kmeans_46,0.00016707033971868128,unnormalized,kmeans,46
unnormalized_kmeans_78,0.00014302513754205673,unnormalized,kmeans,78
unnormalized_discretize_18,7.801187061834751e-05,unnormalized,discretize,18
unnormalized_discretize_22,5.624245058463955e-05,unnormalized,discretize,22
unnormalized_kmeans_76,-0.00019872468062552497,unnormalized,kmeans,76
unnormalized_discretize_2,-0.0002591836050688972,unnormalized,discretize,2
unnormalized_discretize_4,-0.00030772827803403113,unnormalized,discretize,4
unnormalized_kmeans_74,-0.0006668751164715273,unnormalized,kmeans,74
